original_Last Updated,original_Category,original_Organization Name,original_Other Organization Name,original_Street Address,original_City,original_State,original_Zip Code,original_Phone Number,original_E-mail,original_Website,original_Discount Description,original_Discount Description (long),original_Cardholder Requirement,original_Authorization for Release of Information,original_Approved for Publishing,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
2019-01-24T00:00:00.000,Other,1DayBanner.com,,"1636 E. Edinger Ave, Suite D",Santa Ana,CA,92705,,specialoffers@1daybanner.com,https://www.1daybanner.com,"Enter coupon code ""GOVDEALS"" during checkout for 10% Instant Discount. Ships nationwide.","Enter coupon code ""GOVDEALS"" during checkout for 10% Instant Discount. <b/>Ships nationwide.",GOLD or FLASH card required,true,true,33.7248452,-117.8463272,"1636 East Edinger Avenue, Santa Ana, CA, United States of America",,1636,East Edinger Avenue,,,,Santa Ana,Orange County,California,CA,United States,us,0.35720999999999997,1,0.35720999999999997,© OpenAddresses contributors,BSD-3-Clause License,
2022-06-13T00:00:00.000,Food & Beverage / Restaurant,A+ Hong Kong Restaurant,,667 S King St.,Seattle,WA,98104,206-602-6008,Aplus-2022@hotmail.com,,5% off,,Both Gold and FLASH card,true,true,47.5982421,-122.3242722,"667 South King Street, Seattle, WA 98104, United States of America",,667,South King Street,98104,Little Saigon,Chinatown/International District,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-08T00:00:00.000,Retail Shopping,Andaluz,,4908 Rainier Avenue S.,Seattle,WA,98118,206-384-5255,esquivel.karla@gmail.com,https://andaluz.us/,"15% off entire purchase, excluding sale items. Gold or FLASH card required.",,Both Gold and FLASH card,true,true,47.5575262,-122.2846154,"4908 Rainier Avenue South, Seattle, WA 98118, United States of America",,4908,Rainier Avenue South,98118,Columbia City,Rainier Valley,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Ballard Pool, Seattle Parks and Recreation",,1471 NW 67th St,Seattle,WA,98117,206-684-4094,,http://www.seattle.gov/parks/find/pools/ballard-pool,"We offer adult and senior adult lessons, exercise classes including aqua jogging, hyrdofit exercise, and water exercise. We also have family swim, public swim, and lap swim times.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.6773901,-122.37621347023364,"Ballard Pool, 1471 Northwest 67th Street, Seattle, WA 98117, United States of America",Ballard Pool,1471,Northwest 67th Street,98117,Whittier Heights,Ballard,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-05-08T00:00:00.000,Health & Medical; Other,Be A New Creation Spa,TreatYourIncontinence.com,1207 N 200th St,Seattle,WA,98133,206-533-9999,info@TreatYourIncontinence.com,https://www.TreatYourIncontinence.com,Discounts available to all seniors!,Senior discounts on all services!,No card Required,true,true,47.773603,-122.344021,"1207 North 200th Street, Seattle, WA 98133, United States of America",,1207,North 200th Street,98133,,,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenAddresses contributors,BSD-3-Clause License,
2019-03-28T00:00:00.000,"Arts, Culture & Entertainment",Bellevue Arts Museum,,510 Bellevue Way NE,Bellevue,WA,98004,425-519-0770,info@bellevuearts.org,https://www.bellevuearts.org,Discounted admission for individuals 65+,Discounted admission for individuals 65+,No card required,true,true,47.615339,-122.201142,"510 Bellevue Way NE, Bellevue, WA 98004, United States of America",,510,Bellevue Way NE,98004,,,Bellevue,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
2022-08-08T00:00:00.000,"Hair, Skin & Spa",Brooks Family Barber Shop,,5222 Rainier Avenue S.,Seattle,WA,98118,206-723-5157,,,Senior cuts on Tuesdays for $15.,,No card Required,true,true,47.5554497,-122.2823764,"5222 Rainier Avenue South, Seattle, WA 98118, United States of America",,5222,Rainier Avenue South,98118,Columbia City,Rainier Valley,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-08T00:00:00.000,Food & Beverage / Restaurant,Bua 9 Thai Cuisine,,5020 Rainer Avenue S.,Seattle,WA,98118,206-323-9445,chankhantiko@yahoo.com,,15% off. Gold or FLASH Card required.,,Both Gold and FLASH card,true,true,47.556379,-122.283706,"5020 Rainier Avenue South, Seattle, WA 98118, United States of America",,5020,Rainier Avenue South,98118,,Columbia City,Seattle,King County,Washington,WA,United States,us,0.486,1,0.486,© OpenAddresses contributors,BSD-3-Clause License,
2022-05-12T00:00:00.000,Food & Beverage / Restaurant,Canton Wonton House,,608 S Weller Street,Seattle,WA,98104,206-682-5080,cantontt@gmail.com,,"10% off entire purchase, excluding sale items. Tuesdays only. GOLD card required.",Cannot be combined with other offers.,Gold card required,true,true,47.5976332,-122.3259031,"Canton Wonton House, 608 South Weller Street, Seattle, WA 98104, United States of America",Canton Wonton House,608,South Weller Street,98104,Little Saigon,Chinatown/International District,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-11-21T00:00:00.000,Retail Shopping,CanvasDiscount.com,,3443 NW 107th Street,Miami,FL,33167,855-335-9926,seo@canvasdiscount.com,https://www.canvasdiscount.com/,15% OFF all Photo Canvas Prints. Use coupon code SEATTLE15 at checkout.,15% OFF all Photo Canvas Prints.<b/> Use coupon code SEATTLE15 at checkout.,GOLD or FLASH card required,true,true,25.8720538,-80.2550316,"3443 Northwest 107th Street, Miami-Dade County, FL 33167, United States of America",,3443,Northwest 107th Street,33167,,,,Miami-Dade County,Florida,FL,United States,us,0.5103000000000001,0.81,0.5103000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
